Age,Experience,Education Level,Hours Per Week,City Index,Salary
56.0,8.0,3.0,58.0,70.0,75438.31653537456
36.0,28.0,4.0,29.0,59.0,102048.61566997926
21.0,21.0,4.0,43.0,12.0,67928.39554316632
21.0,,1.0,52.0,54.0,105991.8472113804
47.0,9.0,3.0,33.0,51.0,91245.10610377103
42.0,15.0,3.0,54.0,38.0,108051.27892606289
56.0,9.0,2.0,53.0,46.0,101898.1621050565
51.0,5.0,4.0,36.0,99.0,63838.36060534837
52.0,4.0,4.0,40.0,10.0,95320.66302457663
20.0,5.0,2.0,51.0,9.0,97389.56666627689
38.0,24.0,4.0,22.0,87.0,75981.33193456146
21.0,3.0,3.0,34.0,94.0,72231.8318223143
45.0,39.0,3.0,27.0,52.0,103948.97025155864
51.0,31.0,4.0,51.0,51.0,124031.92796287246
25.0,34.0,2.0,57.0,22.0,69490.8840048388
51.0,9.0,1.0,45.0,73.0,100239.36544348291
23.0,33.0,1.0,49.0,83.0,96111.94403708109
30.0,,1.0,28.0,72.0,109341.41603025718
36.0,5.0,,51.0,68.0,69296.44143462615
57.0,15.0,3.0,30.0,5.0,93381.87576469511
43.0,18.0,1.0,41.0,83.0,46378.726120757754
,33.0,3.0,53.0,82.0,102826.76440798935
53.0,24.0,3.0,37.0,29.0,109116.41817015517
25.0,30.0,1.0,38.0,83.0,96930.98520070541
,16.0,1.0,37.0,6.0,53847.38360909864
30.0,29.0,1.0,56.0,69.0,96121.3734081492
35.0,38.0,4.0,37.0,58.0,103118.86511207743
52.0,30.0,4.0,31.0,43.0,92618.71123239843
28.0,18.0,2.0,23.0,69.0,59789.585900249236
25.0,34.0,3.0,46.0,72.0,117480.53932860694
35.0,28.0,,24.0,91.0,104495.21665903453
48.0,0.0,4.0,25.0,37.0,106802.14701244267
22.0,3.0,2.0,32.0,58.0,47289.27412385607
,27.0,3.0,42.0,37.0,111910.58241839713
55.0,17.0,3.0,44.0,82.0,103297.57055631361
38.0,25.0,3.0,23.0,26.0,85892.42984172987
45.0,39.0,4.0,51.0,42.0,105436.32421886004
22.0,18.0,1.0,34.0,16.0,63513.86518549605
38.0,5.0,1.0,45.0,22.0,61089.70134809677
39.0,0.0,3.0,30.0,23.0,74039.32393783925
51.0,7.0,3.0,28.0,47.0,98001.68015760218
26.0,32.0,2.0,30.0,67.0,114580.07507015174
52.0,20.0,2.0,21.0,3.0,59968.74583597006
59.0,23.0,3.0,46.0,12.0,85367.35127099232
58.0,24.0,2.0,45.0,23.0,112494.60561464206
37.0,18.0,4.0,27.0,11.0,82433.60751107398
59.0,28.0,3.0,40.0,52.0,100146.28754884735
20.0,9.0,2.0,40.0,50.0,51420.66598078872
30.0,11.0,3.0,27.0,57.0,98695.50123269422
47.0,32.0,1.0,20.0,64.0,62308.77691222918
44.0,6.0,4.0,57.0,46.0,62757.84128820071
42.0,16.0,3.0,32.0,29.0,103162.25591255055
50.0,9.0,1.0,28.0,70.0,98400.92519349835
49.0,30.0,3.0,47.0,46.0,100040.83372912629
54.0,5.0,1.0,25.0,16.0,64297.05782205763
26.0,16.0,2.0,42.0,98.0,98024.19339674483
35.0,36.0,1.0,55.0,51.0,106341.71722046073
45.0,17.0,4.0,36.0,11.0,88601.72730935004
21.0,25.0,4.0,28.0,11.0,93318.19567921461
20.0,15.0,2.0,31.0,63.0,57698.03063772524
31.0,7.0,3.0,41.0,53.0,83694.1265818033
24.0,23.0,4.0,31.0,89.0,97821.24766895786
56.0,12.0,2.0,25.0,58.0,70432.30731330978
51.0,28.0,4.0,28.0,19.0,88572.77806656418
28.0,31.0,2.0,56.0,32.0,88692.03720059854
54.0,23.0,4.0,,50.0,106675.6538076005
38.0,15.0,2.0,53.0,72.0,98824.95472613571
35.0,10.0,4.0,27.0,55.0,80493.25765564074
22.0,31.0,3.0,29.0,76.0,95312.80640130432
39.0,5.0,1.0,28.0,41.0,52795.27930078695
43.0,34.0,4.0,33.0,99.0,124652.30065361387
52.0,32.0,2.0,56.0,70.0,103664.9365448386
43.0,17.0,3.0,46.0,21.0,96718.51468990897
30.0,36.0,4.0,51.0,26.0,121577.05195140194
27.0,12.0,2.0,23.0,1.0,71984.47569199096
55.0,9.0,1.0,21.0,81.0,50719.59850234868
57.0,36.0,2.0,52.0,99.0,91458.00266471121
59.0,25.0,4.0,40.0,27.0,119918.28298971176
39.0,16.0,2.0,,50.0,69114.73527724142
54.0,0.0,2.0,30.0,66.0,59844.56520377474
44.0,24.0,1.0,20.0,100.0,65984.14196943185
54.0,33.0,4.0,30.0,65.0,90759.0022161039
44.0,38.0,4.0,26.0,10.0,101662.52504456916
48.0,9.0,1.0,21.0,95.0,93526.10776366688
37.0,19.0,3.0,,37.0,100670.56086788644
37.0,6.0,2.0,27.0,69.0,63498.16692864565
21.0,15.0,2.0,45.0,41.0,100243.15191827992
54.0,36.0,2.0,59.0,46.0,105515.51690055331
35.0,28.0,4.0,54.0,77.0,129115.10070487758
,11.0,4.0,40.0,45.0,122175.9552559432
52.0,,2.0,57.0,88.0,102822.42608899287
23.0,19.0,4.0,27.0,27.0,95818.26432833867
52.0,25.0,1.0,51.0,65.0,100689.6481027454
33.0,18.0,1.0,27.0,84.0,78626.06828923318
40.0,11.0,4.0,29.0,8.0,59260.02454037436
39.0,20.0,2.0,42.0,67.0,78580.61878681934
27.0,33.0,2.0,23.0,49.0,83326.12606520174
26.0,6.0,2.0,57.0,96.0,67248.13437253691
22.0,34.0,2.0,49.0,89.0,130705.07148959166
36.0,14.0,4.0,42.0,89.0,109232.24614281987
52.0,0.0,3.0,24.0,14.0,76413.27202162471
31.0,25.0,3.0,40.0,62.0,110185.14425677036
41.0,34.0,2.0,25.0,43.0,70618.29771141216
41.0,24.0,2.0,36.0,27.0,102122.75569634294
49.0,14.0,2.0,44.0,96.0,96894.36474303252
57.0,21.0,3.0,43.0,27.0,61003.792184690756
57.0,5.0,1.0,41.0,68.0,79678.55130669099
27.0,14.0,3.0,32.0,75.0,64038.89535999372
46.0,23.0,4.0,36.0,48.0,70649.91965330952
46.0,20.0,3.0,33.0,67.0,111494.77325289368
53.0,6.0,4.0,53.0,25.0,71494.26428581486
40.0,28.0,2.0,45.0,64.0,86260.79890923435
,31.0,4.0,38.0,24.0,123444.06814136019
52.0,31.0,2.0,45.0,9.0,95421.42591621398
47.0,4.0,1.0,22.0,8.0,60697.51939406377
52.0,3.0,2.0,21.0,95.0,64168.69640343106
24.0,21.0,2.0,47.0,59.0,95613.98156462179
38.0,17.0,1.0,21.0,17.0,72804.98375413986
23.0,34.0,2.0,41.0,43.0,103911.8911153865
54.0,16.0,2.0,26.0,95.0,73646.62811880941
36.0,23.0,2.0,23.0,68.0,92877.29384819043
47.0,1.0,3.0,57.0,4.0,82107.6454785685
49.0,,4.0,58.0,8.0,122068.28756526273
48.0,14.0,,39.0,42.0,76081.23575489447
25.0,4.0,3.0,25.0,49.0,71237.51723292531
54.0,2.0,2.0,28.0,6.0,71182.36488905562
56.0,36.0,4.0,50.0,73.0,130466.53466472079
43.0,36.0,2.0,45.0,42.0,88626.22270234198
48.0,36.0,4.0,55.0,72.0,118553.64782662602
50.0,2.0,3.0,45.0,32.0,38382.609459174
54.0,34.0,3.0,47.0,15.0,104327.02124916407
52.0,22.0,2.0,24.0,82.0,102890.90545149041
40.0,27.0,1.0,29.0,87.0,76907.86345479023
51.0,29.0,4.0,37.0,69.0,109052.56422927967
42.0,17.0,2.0,34.0,27.0,75866.41638424597
52.0,35.0,3.0,52.0,97.0,97508.96703399476
22.0,32.0,2.0,24.0,66.0,111372.28997402152
37.0,25.0,4.0,56.0,59.0,90521.11965231519
44.0,39.0,2.0,59.0,28.0,115194.4794079464
50.0,16.0,4.0,41.0,24.0,98825.27431149238
22.0,39.0,3.0,41.0,51.0,99423.00724442065
59.0,6.0,1.0,,21.0,71535.27885436443
43.0,7.0,1.0,34.0,31.0,54775.78243798034
51.0,30.0,3.0,36.0,75.0,110026.87812363738
41.0,11.0,3.0,47.0,50.0,65675.8142803566
42.0,30.0,2.0,41.0,92.0,93105.91745212238
21.0,18.0,3.0,40.0,40.0,87208.4251051315
46.0,9.0,3.0,36.0,68.0,97894.33007316005
21.0,38.0,4.0,24.0,16.0,114900.64607567838
45.0,11.0,2.0,37.0,76.0,92725.2023516809
36.0,19.0,4.0,36.0,86.0,104520.36572734818
59.0,36.0,2.0,23.0,99.0,108824.54501343638
52.0,6.0,2.0,26.0,63.0,66221.00214654898
28.0,13.0,1.0,44.0,56.0,92113.5882528733
58.0,10.0,1.0,56.0,80.0,70857.44386046997
48.0,6.0,3.0,59.0,24.0,56852.617801048385
45.0,28.0,2.0,59.0,99.0,96578.1924729966
54.0,9.0,3.0,28.0,28.0,86402.14606966102
44.0,28.0,4.0,38.0,93.0,81500.6142193078
43.0,8.0,3.0,28.0,85.0,65323.464619194216
32.0,,4.0,42.0,89.0,94941.17339733966
26.0,9.0,1.0,50.0,31.0,85800.75657063446
55.0,18.0,1.0,51.0,15.0,108292.93955518743
39.0,30.0,4.0,50.0,42.0,106854.51268680175
20.0,16.0,4.0,36.0,99.0,101172.95544602389
27.0,8.0,4.0,58.0,50.0,97182.79048849584
35.0,32.0,3.0,41.0,86.0,128506.95419659943
33.0,33.0,4.0,54.0,5.0,104011.7064407109
31.0,23.0,2.0,49.0,48.0,89501.81552862513
42.0,8.0,4.0,59.0,13.0,84688.47025863912
34.0,6.0,1.0,56.0,32.0,73330.50860060393
47.0,15.0,4.0,45.0,67.0,131564.75203175214
53.0,18.0,1.0,25.0,79.0,78462.1667279597
21.0,38.0,1.0,53.0,91.0,90779.3402108941
51.0,5.0,3.0,51.0,91.0,62882.541596603216
42.0,10.0,4.0,44.0,30.0,107589.6751096957
41.0,11.0,,32.0,6.0,59511.18244032882
44.0,12.0,2.0,57.0,25.0,93353.80438798643
41.0,11.0,4.0,57.0,28.0,82204.63006112058
41.0,20.0,4.0,,62.0,75199.60895125242
25.0,9.0,1.0,24.0,22.0,77877.99400452731
34.0,19.0,3.0,30.0,68.0,80538.82699854703
56.0,35.0,3.0,30.0,15.0,112381.3845885834
52.0,27.0,4.0,43.0,26.0,113089.24411269065
27.0,23.0,4.0,33.0,63.0,107793.97867518703
24.0,4.0,3.0,49.0,18.0,74777.7697408522
58.0,36.0,3.0,59.0,73.0,123092.75334757062
23.0,11.0,2.0,54.0,63.0,67961.80507327875
25.0,34.0,4.0,40.0,62.0,75188.646234038
51.0,39.0,4.0,24.0,68.0,124403.38259680162
49.0,1.0,4.0,57.0,48.0,84883.85757256205
54.0,38.0,3.0,21.0,50.0,98048.82633979044
59.0,8.0,1.0,59.0,63.0,52732.70857037432
35.0,21.0,2.0,56.0,69.0,61651.32551746986
32.0,4.0,3.0,53.0,6.0,80376.15022313458
49.0,11.0,3.0,30.0,58.0,106731.78948594928
38.0,0.0,2.0,55.0,51.0,68921.63875353531
36.0,21.0,4.0,30.0,12.0,91579.96919962682
38.0,37.0,1.0,28.0,95.0,97234.48236256235
47.0,18.0,2.0,25.0,47.0,115688.07667863155
45.0,15.0,1.0,53.0,9.0,91878.563399797
56.0,30.0,,56.0,7.0,97196.37122449416
45.0,2.0,1.0,51.0,29.0,67621.55855853154
42.0,22.0,4.0,31.0,78.0,103186.55366732411
28.0,17.0,3.0,51.0,51.0,76354.91700131733
31.0,25.0,4.0,36.0,84.0,113587.04933513839
20.0,12.0,2.0,23.0,55.0,64332.86804283469
20.0,17.0,2.0,52.0,96.0,64735.81348989894
53.0,2.0,4.0,28.0,59.0,78742.00330759666
51.0,22.0,4.0,53.0,56.0,101367.66210764466
,2.0,3.0,58.0,22.0,78584.67146695958
59.0,24.0,3.0,49.0,100.0,87330.33073505817
20.0,26.0,4.0,39.0,18.0,94423.31073193438
35.0,26.0,1.0,58.0,58.0,109526.69990553666
58.0,38.0,3.0,42.0,40.0,118016.28422501122
24.0,24.0,2.0,54.0,89.0,80448.80885134073
41.0,23.0,3.0,42.0,31.0,67139.5465836984
48.0,7.0,3.0,58.0,56.0,69883.75396831686
22.0,8.0,3.0,42.0,35.0,83759.48608240286
31.0,36.0,3.0,,26.0,102721.02422468338
45.0,29.0,4.0,42.0,68.0,96755.2469223477
35.0,18.0,3.0,58.0,84.0,85762.59341604006
56.0,15.0,1.0,47.0,34.0,78309.38655895568
41.0,23.0,3.0,38.0,76.0,107369.41869437523
48.0,20.0,3.0,49.0,16.0,94793.7119408146
33.0,35.0,2.0,40.0,42.0,103929.05532276476
47.0,39.0,3.0,43.0,5.0,109227.09454175769
24.0,38.0,2.0,40.0,61.0,98509.64751767891
49.0,5.0,2.0,45.0,44.0,87413.61306979894
24.0,4.0,4.0,55.0,35.0,96136.03101766294
31.0,13.0,2.0,45.0,91.0,112679.19876499075
35.0,3.0,2.0,52.0,1.0,82558.46447583879
45.0,7.0,1.0,55.0,98.0,65523.785172888056
45.0,23.0,1.0,23.0,43.0,69030.23036334716
40.0,10.0,2.0,28.0,32.0,89894.17891067425
58.0,16.0,4.0,27.0,63.0,79175.19673534835
55.0,20.0,1.0,21.0,33.0,91346.05029783107
52.0,25.0,1.0,48.0,95.0,78201.29009161079
49.0,26.0,4.0,42.0,77.0,109637.3757568092
56.0,15.0,3.0,25.0,66.0,69103.73177700458
42.0,25.0,1.0,55.0,30.0,102698.28031498121
29.0,32.0,2.0,40.0,10.0,81494.92516736126
24.0,30.0,2.0,41.0,23.0,102294.35994260052
,5.0,2.0,28.0,97.0,67632.40098659482
53.0,7.0,4.0,53.0,39.0,89127.0965583939
50.0,6.0,2.0,45.0,45.0,69062.94248757549
29.0,33.0,3.0,20.0,29.0,95711.10078943514
38.0,13.0,4.0,55.0,30.0,96321.71806014658
51.0,15.0,1.0,24.0,34.0,59767.924328652225
20.0,8.0,4.0,41.0,52.0,71079.66907499985
24.0,9.0,2.0,23.0,81.0,68221.75750542383
23.0,16.0,4.0,21.0,22.0,84237.94790421489
35.0,11.0,4.0,35.0,5.0,72919.05304293439
43.0,,4.0,35.0,11.0,95863.22039371997
,18.0,4.0,41.0,86.0,91182.89872352593
21.0,28.0,3.0,20.0,32.0,93600.06695505833
47.0,5.0,4.0,34.0,24.0,61887.075110456804
51.0,24.0,2.0,,11.0,123674.53781918179
46.0,23.0,1.0,23.0,11.0,119006.01093332369
39.0,24.0,3.0,37.0,17.0,84694.02132393478
43.0,15.0,4.0,36.0,32.0,110591.29571753647
31.0,15.0,1.0,26.0,83.0,73822.79924393614
54.0,5.0,3.0,29.0,27.0,99856.54389219658
52.0,36.0,2.0,20.0,32.0,105043.49629600579
52.0,20.0,2.0,21.0,61.0,85696.43253151097
56.0,3.0,1.0,41.0,25.0,28710.956905721272
31.0,33.0,4.0,51.0,64.0,100020.91039859975
22.0,27.0,1.0,48.0,64.0,91907.81004362414
20.0,37.0,3.0,54.0,28.0,115779.99379055967
52.0,27.0,1.0,36.0,40.0,70977.49429093923
59.0,16.0,1.0,31.0,91.0,66268.42706985582
29.0,13.0,4.0,43.0,14.0,99901.70525876229
48.0,6.0,2.0,49.0,42.0,55051.83905399963
32.0,21.0,4.0,49.0,39.0,102805.94585585309
31.0,0.0,2.0,39.0,2.0,86369.30297233583
50.0,28.0,4.0,26.0,81.0,108982.0444366773
,30.0,2.0,57.0,1.0,106432.30114748966
54.0,29.0,4.0,26.0,32.0,73897.72826233355
42.0,14.0,2.0,49.0,83.0,71471.30835373155
36.0,17.0,2.0,31.0,64.0,114013.0275038656
45.0,34.0,2.0,50.0,78.0,95012.57123681103
27.0,29.0,2.0,37.0,31.0,115367.14314320602
48.0,33.0,4.0,21.0,58.0,98037.38665965575
45.0,10.0,3.0,52.0,82.0,81232.69247735805
29.0,26.0,2.0,30.0,78.0,99733.80268030278
45.0,23.0,2.0,53.0,14.0,95110.39523991014
53.0,34.0,2.0,35.0,88.0,106722.6867650162
26.0,38.0,2.0,54.0,69.0,96524.1461790952
23.0,7.0,2.0,52.0,16.0,60355.94715796865
30.0,17.0,1.0,40.0,69.0,66711.92578414248
48.0,12.0,1.0,39.0,54.0,66815.2278780645
55.0,23.0,2.0,27.0,13.0,84960.77926913883
44.0,22.0,2.0,45.0,80.0,106559.1307095973
40.0,11.0,2.0,52.0,79.0,82710.12184037572
55.0,29.0,3.0,45.0,31.0,110268.95653762878
29.0,30.0,4.0,56.0,69.0,113324.01518870197
56.0,27.0,2.0,49.0,21.0,80068.48619706836
28.0,21.0,3.0,50.0,30.0,96259.04289008473
43.0,27.0,3.0,52.0,23.0,104361.73165287304
54.0,12.0,2.0,30.0,38.0,89398.8483201196
54.0,24.0,4.0,24.0,29.0,82771.17895534803
55.0,6.0,1.0,21.0,77.0,34593.83702277459
37.0,5.0,2.0,32.0,32.0,74043.95722755746
58.0,23.0,2.0,37.0,62.0,95707.7500238257
51.0,18.0,1.0,45.0,91.0,79309.22790524428
,18.0,4.0,44.0,98.0,97220.31351090188
42.0,35.0,1.0,33.0,45.0,109781.58567874206
51.0,8.0,2.0,24.0,49.0,65917.91635208737
56.0,35.0,2.0,21.0,33.0,95020.38736762131
31.0,37.0,3.0,23.0,4.0,107785.54666920748
32.0,39.0,1.0,31.0,18.0,81902.77981245986
42.0,28.0,3.0,30.0,70.0,96721.54162428368
44.0,23.0,3.0,23.0,64.0,91643.8502399869
54.0,4.0,3.0,28.0,28.0,99155.63321480411
49.0,25.0,3.0,29.0,58.0,91328.26513557309
36.0,13.0,1.0,46.0,91.0,80200.16859916701
39.0,38.0,1.0,25.0,90.0,111779.26408084613
44.0,28.0,1.0,34.0,56.0,77237.72912034357
41.0,5.0,2.0,50.0,20.0,95636.10580314249
32.0,6.0,4.0,41.0,77.0,110658.05348085918
38.0,36.0,3.0,25.0,92.0,105566.55568526988
55.0,17.0,2.0,52.0,34.0,79308.6090781093
31.0,22.0,1.0,48.0,87.0,111006.79136585582
38.0,,1.0,40.0,10.0,111934.46309152222
31.0,0.0,2.0,49.0,94.0,71029.53806995755
28.0,3.0,3.0,40.0,22.0,97402.65729423554
26.0,34.0,1.0,55.0,5.0,119814.88282823979
47.0,22.0,3.0,41.0,44.0,90156.14569062667
33.0,26.0,3.0,39.0,9.0,102530.94779948724
50.0,25.0,4.0,41.0,43.0,111851.88731888935
38.0,7.0,1.0,59.0,4.0,74230.95044831777
35.0,15.0,2.0,30.0,42.0,60136.941136435795
